ano,trimestre,url_zip
2020,1,https://dadosabertos.pgfn.gov.br/2020_trimestre_01/Dados_abertos_Nao_Previdenciario.zip
2020,2,https://dadosabertos.pgfn.gov.br/2020_trimestre_02/Dados_abertos_Nao_Previdenciario.zip
2020,3,https://dadosabertos.pgfn.gov.br/2020_trimestre_03/Dados_abertos_Nao_Previdenciario.zip
2020,4,https://dadosabertos.pgfn.gov.br/2020_trimestre_04/Dados_abertos_Nao_Previdenciario.zip
2021,1,https://dadosabertos.pgfn.gov.br/2021_trimestre_01/Dados_abertos_Nao_Previdenciario.zip
2021,2,https://dadosabertos.pgfn.gov.br/2021_trimestre_02/Dados_abertos_Nao_Previdenciario.zip
2021,3,https://dadosabertos.pgfn.gov.br/2021_trimestre_03/Dados_abertos_Nao_Previdenciario.zip
2021,4,https://dadosabertos.pgfn.gov.br/2021_trimestre_04/Dados_abertos_Nao_Previdenciario.zip
2022,1,https://dadosabertos.pgfn.gov.br/2022_trimestre_01/Dados_abertos_Nao_Previdenciario.zip
2022,2,https://dadosabertos.pgfn.gov.br/2022_trimestre_02/Dados_abertos_Nao_Previdenciario.zip
2022,3,https://dadosabertos.pgfn.gov.br/2022_trimestre_03/Dados_abertos_Nao_Previdenciario.zip
2022,4,https://dadosabertos.pgfn.gov.br/2022_trimestre_04/Dados_abertos_Nao_Previdenciario.zip
2023,1,https://dadosabertos.pgfn.gov.br/2023_trimestre_01/Dados_abertos_Nao_Previdenciario.zip
2023,2,https://dadosabertos.pgfn.gov.br/2023_trimestre_02/Dados_abertos_Nao_Previdenciario.zip
2023,3,https://dadosabertos.pgfn.gov.br/2023_trimestre_03/Dados_abertos_Nao_Previdenciario.zip
2023,4,https://dadosabertos.pgfn.gov.br/2023_trimestre_04/Dados_abertos_Nao_Previdenciario.zip
2024,1,https://dadosabertos.pgfn.gov.br/2024_trimestre_01/Dados_abertos_Nao_Previdenciario.zip
2024,2,https://dadosabertos.pgfn.gov.br/2024_trimestre_02/Dados_abertos_Nao_Previdenciario.zip
2024,3,https://dadosabertos.pgfn.gov.br/2024_trimestre_03/Dados_abertos_Nao_Previdenciario.zip
2024,4,https://dadosabertos.pgfn.gov.br/2024_trimestre_04/Dados_abertos_Nao_Previdenciario.zip
2025,1,https://dadosabertos.pgfn.gov.br/2025_trimestre_01/Dados_abertos_Nao_Previdenciario.zip
2025,2,https://dadosabertos.pgfn.gov.br/2025_trimestre_02/Dados_abertos_Nao_Previdenciario.zip
2025,3,https://dadosabertos.pgfn.gov.br/2025_trimestre_03/Dados_abertos_Nao_Previdenciario.zip
2025,4,https://dadosabertos.pgfn.gov.br/2025_trimestre_04/Dados_abertos_Nao_Previdenciario.zip
