feature,coef
divida_media,7.966149507224691
pct_ajuizado,4.740878738750936
pct_ajuizado_chk,4.740878738750936
divida_max,4.691339284209641
inscricoes_por_periodo,2.084864156631581
divida_total,1.72836208433442
qtd_beneficio_fiscal,1.4993738412530058
qtd_inscricoes,0.9312328853254156
qtd_periodos,0.8907522276080639
qtd_ajuizado,0.6552350762600014
qtd_irregular,-0.2647755089961767
qtd_garantia,0.25397396604333694
divida_por_estab,0.21209860191631708
qtd_suspenso_judicial,0.20016477608567593
divida_por_ativo,0.191113901709169
idade_empresa_dias,0.054688642741053506
qtd_estabelecimentos,0.03950210156394599
qtd_ativos,0.033244133224169845
qtd_negociacao,-0.010738728414785254
qtd_inativos,0.0023704828529666692
